"filename", "language", "Database", "Python", "JSON", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\tags.py", "Python", 0, 466, 0, 0, 0, 0, 0, 177, 109, 752
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\utils.py", "Python", 0, 29, 0, 0, 0, 0, 0, 18, 19, 66
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\version.py", "Python", 0, 285, 0, 0, 0, 0, 0, 140, 111, 536
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\pyparsing.py", "Python", 0, 2835, 0, 0, 0, 0, 0, 2367, 541, 5743
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\archive_util.py", "Python", 0, 120, 0, 0, 0, 0, 0, 49, 37, 206
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\build_meta.py", "Python", 0, 160, 0, 0, 0, 0, 0, 68, 54, 282
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\command\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\command\alias.py", "Python", 0, 60, 0, 0, 0, 0, 0, 2, 17, 79
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\command\bdist_egg.py", "Python", 0, 337, 0, 0, 0, 0, 0, 43, 77, 457
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\command\bdist_rpm.py", "Python", 0, 25, 0, 0, 0, 0, 0, 8, 8, 41
